TripId,Clientid,Status,ProviderType,Outcome,Tripdate,RequestTime,PromiseTime,ProviderId,APtime,APtime1,ADtime,Anchor,PickCounty,PickZip,DropCounty,DropZip,TripMiles
224,22784,S,E-Hail,Authorized,2022-04-01,08:20,08:20,ISA,08:12,08:12,08:39,P,Richmond,10302,Richmond,10305,5.960000038146973
238,7770,CX,E-Hail,Early Cancel,2022-04-01,13:15,13:15,,00:00,00:00,00:00,P,Kings,11236,Kings,11207,0.0
239,53065,S,Broker,Authorized,2022-04-01,04:45,04:45,VBG,05:13,05:10,05:30,P,Queens,11436,Queens,11418,2.509999990463257
256,23204,S,Broker,Authorized,2022-04-01,07:15,07:15,VBG,00:00,00:00,08:15,P,Kings,11238,Kings,11220,5.53000020980835
257,7829,S,Primary,Completed,2022-04-01,08:00,08:00,MAG,07:53,07:41,08:14,P,Kings,11231,Kings,11230,5.170000076293945
270,23578,S,Primary,Completed,2022-04-01,08:00,07:18,MAG,07:17,07:17,07:34,A,Queens,11418,Queens,11415,1.8700000047683716
271,23578,S,Primary,Completed,2022-04-01,13:30,12:45,ITA,12:50,12:50,13:04,A,Queens,11415,Queens,11433,3.0
3,40741,CX,E-Hail,Early Cancel,2022-04-01,10:40,11:34,,00:00,00:00,00:00,P,Queens County,11374,Queens County,11375,0.0
6,50775,S,E-Hail,Authorized,2022-04-01,07:30,07:30,ARA,07:33,07:28,08:11,P,New York,10025,Kings,11201,9.220000267028809
7,51426,CX,E-Hail,Early Cancel,2022-04-01,07:40,08:29,,00:00,00:00,00:00,P,Richmond County,10301,Richmond County,10301,0.0
8,51426,CX,E-Hail,Early Cancel,2022-04-01,09:30,10:16,,00:00,00:00,00:00,P,Richmond County,10301,New York County,10022,0.0
22,34549,CX,E-Hail,Early Cancel,2022-04-01,08:30,08:30,,00:00,00:00,00:00,P,Kings,11226,Kings,11238,0.0
23,35462,CX,E-Hail,Early Cancel,2022-04-01,23:05,23:05,,00:00,00:00,00:00,P,Queens,11378,New York,10039,0.0
37,51532,S,E-Hail,Authorized,2022-04-01,09:30,09:30,STA,09:27,09:25,09:35,P,Bronx,10459,Bronx,10459,0.36000001430511475
40,50659,CX,E-Hail,Early Cancel,2022-04-01,08:10,08:10,,00:00,00:00,00:00,P,New York,10024,New York,10004,0.0
54,29812,CX_L,E-Hail,Late Cancel,2022-04-01,21:15,21:15,,21:19,21:09,00:00,P,Kings,11239,Kings,11232,0.0
55,29812,S,Broker,Authorized,2022-04-01,05:50,05:50,VBG,06:08,06:02,06:40,P,Kings,11232,Kings,11239,6.150000095367432
72,43396,CX,E-Hail,Early Cancel,2022-04-01,14:30,14:30,,00:00,00:00,00:00,P,Queens,11385,Richmond,10305,0.0
73,28186,CX,E-Hail,Early Cancel,2022-04-01,06:55,06:55,,00:00,00:00,00:00,P,Kings,11207,New York,10009,0.0
87,7216,S,Primary,Completed,2022-04-01,08:30,08:30,ITA,08:40,08:33,08:59,P,Queens,11367,Queens,11432,2.5399999618530273
90,17741,CX,E-Hail,Early Cancel,2022-04-01,19:30,18:16,,00:00,00:00,00:00,A,Queens,11354,Queens,11103,0.0
104,51320,CX,E-Hail,Early Cancel,2022-04-01,20:15,20:15,,00:00,00:00,00:00,P,Queens,11101,Bronx,10459,0.0
105,44409,CX,E-Hail,Early Cancel,2022-04-01,09:00,09:00,,00:00,00:00,00:00,P,Queens,11694,New York,10009,0.0
122,13876,CX,E-Hail,Early Cancel,2022-04-01,09:15,09:15,,00:00,00:00,00:00,P,New York,10009,New York,10025,0.0
123,45309,CX,E-Hail,Early Cancel,2022-04-01,06:00,06:00,,00:00,06:03,07:09,P,Bronx,10475,New York,10016,0.0
137,13808,CX,E-Hail,Early Cancel,2022-04-01,13:15,13:15,,00:00,00:00,00:00,P,Kings,11201,Bronx,10456,0.0
140,1548,S,Primary,Completed,2022-04-01,07:15,07:15,MAG,07:24,07:24,08:21,P,Queens,11416,New York,10006,11.069999694824219
154,34239,S,E-Hail,Authorized,2022-04-01,24:15,24:15,ARH,00:00,00:00,00:00,P,Queens,11101,Queens,11434,14.069999694824219
155,34239,S,E-Hail,Authorized,2022-04-01,13:00,13:00,ARH,13:06,13:05,13:48,P,Queens,11434,Queens,11101,14.069999694824219
172,28946,S,Broker,Authorized,2022-04-01,06:40,06:40,VBG,07:13,07:10,07:45,P,Kings,11206,Kings,11231,5.340000152587891
173,28946,S,Broker,Authorized,2022-04-01,16:05,16:05,VBG,17:20,17:20,17:56,P,Kings,11231,Kings,11206,5.340000152587891
187,5787,S,E-Hail,Authorized,2022-04-01,09:55,09:04,STA,09:19,09:16,09:33,A,Bronx County,10473,Bronx County,10461,4.239999771118164
190,46610,S,Broker,Authorized,2022-04-01,09:27,09:27,VBG,09:46,09:46,10:34,P,Bronx County,10473,New York County,10002,13.149999618530273
204,31212,CX,E-Hail,Early Cancel,2022-04-01,16:55,16:55,,00:00,00:00,00:00,P,Bronx,10461,Bronx,10453,0.0
205,18680,S,Primary,Completed,2022-04-01,18:30,18:30,MAG,19:17,19:09,20:10,P,Richmond,10310,Kings,11210,12.979999542236328
222,7564,S,Broker,Authorized,2022-04-01,10:15,10:15,VBH,10:17,10:15,10:20,P,Queens,11429,Queens,11429,0.949999988079071
223,22784,S,E-Hail,Authorized,2022-04-01,13:45,13:45,ISA,13:41,13:40,14:06,P,Richmond,10305,Richmond,10302,5.960000038146973
237,7770,CX,E-Hail,Early Cancel,2022-04-01,07:45,07:45,,00:00,00:00,00:00,P,Kings,11207,Kings,11236,0.0
240,53065,S,Broker,Authorized,2022-04-01,10:00,10:00,VBG,10:19,10:18,10:31,P,Queens,11418,Queens,11436,2.509999990463257
254,15320,S,Primary,Completed,2022-04-01,09:00,07:44,MVP,07:42,07:42,08:28,A,Kings,11233,Kings,11209,8.229999542236328
255,15320,S,Broker,Authorized,2022-04-01,13:30,13:30,VBG,13:43,13:34,14:34,P,Kings,11209,Kings,11233,8.229999542236328
272,8402,CX,E-Hail,Early Cancel,2022-04-01,08:45,07:51,,00:00,00:00,00:00,A,Kings,11223,Kings,11209,0.0
273,8402,CX,E-Hail,Early Cancel,2022-04-01,13:30,13:30,,00:00,00:00,00:00,P,Kings,11209,Kings,11223,0.0
287,1846,S,Broker,Authorized,2022-04-01,08:30,08:30,VBH,08:42,08:41,09:02,P,Kings,11209,Kings,11214,3.609999895095825
5,40741,S,Primary,Completed,2022-04-01,13:00,13:00,MVP,12:59,12:57,13:35,P,Queens County,11373,Queens County,11374,1.340000033378601
12,13419,S,Broker,Authorized,2022-04-01,06:30,05:43,VBG,05:46,05:46,06:05,A,Kings,11213,Queens,11385,3.2200000286102295
14,32466,S,E-Hail,Authorized,2022-04-01,08:30,08:30,STA,08:34,08:31,08:41,P,Bronx,10462,Bronx,10461,1.6399999856948853
29,1215,S,Broker,Authorized,2022-04-01,13:45,13:45,VBG,13:27,13:23,13:36,P,Queens,11434,Queens,11412,1.8300000429153442
31,47533,S,Broker,Authorized,2022-04-01,10:15,10:15,VBG,10:12,10:04,10:29,P,Bronx,10473,Bronx,10461,3.4600000381469727
46,50906,S,Primary,Completed,2022-04-01,05:00,05:00,MAG,05:02,04:56,05:22,P,Queens,11434,Queens,11427,6.03000020980835
48,13419,S,Broker,Authorized,2022-04-01,17:15,16:04,VBG,16:19,16:18,17:20,A,Queens,11385,Kings,11215,6.099999904632568
63,26363,S,Broker,Authorized,2022-04-01,05:30,05:30,VBH,05:30,05:25,06:21,P,Queens,11434,Kings,11201,11.100000381469727
65,45673,S,Primary,Completed,2022-04-01,22:00,22:00,MVP,22:09,22:04,22:28,P,Kings,11209,Richmond,10302,9.819999694824219
78,43416,S,Primary,Completed,2022-04-01,06:30,06:30,MVT,06:32,06:29,07:11,P,Bronx,10462,New York,10004,17.149999618530273
80,57060,S,Broker,Authorized,2022-04-01,12:00,10:46,VBG,10:46,10:46,11:30,A,Kings,11210,Queens,11101,9.220000267028809
95,2497,S,Primary,Completed,2022-04-01,16:00,16:00,MAG,16:16,16:16,16:43,P,Kings,11217,Kings,11218,2.8499999046325684
97,14437,CX_L,E-Hail,Late Cancel,2022-04-01,21:35,21:35,,00:00,00:00,00:00,P,Queens,11364,Queens,11433,0.0
112,20789,CX,E-Hail,Early Cancel,2022-04-01,13:45,13:45,,00:00,00:00,00:00,P,Kings,11219,Queens,11433,0.0
114,39219,CX,E-Hail,Early Cancel,2022-04-01,23:50,23:50,,00:00,00:00,00:00,P,New York,10029,Kings,11206,0.0
129,27587,CX,E-Hail,Early Cancel,2022-04-01,16:05,16:05,,00:00,00:00,00:00,P,Kings,11238,New York,10002,0.0
131,39125,S,Primary,Completed,2022-04-01,15:30,15:30,PTC,15:38,15:18,16:26,P,Queens County,11417,Queens,11429,7.139999866485596
146,32770,CX,E-Hail,Early Cancel,2022-04-01,16:00,16:00,,00:00,00:00,00:00,P,Queens County,11433,Kings County,11203,0.0
148,52079,S,E-Hail,Authorized,2022-04-01,08:00,08:00,ARA,08:04,08:00,08:56,P,Queens,11379,New York,10021,7.590000152587891
163,34161,CX,E-Hail,Early Cancel,2022-04-01,08:00,07:09,,00:00,00:00,00:00,A,Bronx County,10455,New York County,10027,0.0
165,34238,CX,E-Hail,Early Cancel,2022-04-01,14:30,14:30,,00:00,00:00,00:00,P,Queens,11428,Queens,11434,0.0
180,52929,NSCNS,Primary,Customer no-show,2022-04-01,06:30,06:30,MVT,07:03,06:53,07:03,P,Richmond,10314,Bronx,10456,0.0
182,54253,S,E-Hail,Authorized,2022-04-01,20:30,20:30,STA,20:27,20:23,20:41,P,Bronx,10458,Bronx,10457,1.559999942779541
195,32218,CX,E-Hail,Early Cancel,2022-04-01,13:00,13:00,,00:00,00:00,00:00,P,Bronx,10451,Bronx,10459,0.0
197,2707,S,Primary,Completed,2022-04-01,08:15,08:15,MVP,08:21,08:13,08:43,P,Richmond,10307,Richmond,10303,11.729999542236328
212,4894,CX_L,E-Hail,Late Cancel,2022-04-01,16:30,16:30,,00:00,00:00,00:00,P,New York,10025,Kings,11224,0.0
214,4791,S,Primary,Completed,2022-04-01,15:15,15:15,MAG,16:05,16:05,18:53,P,Kings County,11220,Bronx County,10453,21.290000915527344
229,43539,CX,E-Hail,Early Cancel,2022-04-01,07:35,07:35,,00:00,00:00,00:00,P,Kings,11238,Kings,11221,0.0
231,12305,CX,E-Hail,Early Cancel,2022-04-01,08:44,08:44,,00:00,00:00,00:00,P,Kings,11226,Queens,11692,0.0
246,4361,S,Primary,Completed,2022-04-01,08:30,08:30,MVT,08:42,08:42,08:56,P,Queens,11412,Queens,11434,2.190000057220459
248,7642,S,Primary,Completed,2022-04-01,13:00,13:00,GVC,13:38,13:36,14:22,P,Kings,11239,Kings,11230,6.039999961853027
263,8399,S,Broker,Authorized,2022-04-01,07:00,05:49,VBG,00:00,06:28,07:30,A,Queens,11379,Kings,11234,10.020000457763672
265,23406,S,Primary,Completed,2022-04-01,09:30,07:57,PTC,07:57,07:57,08:45,A,Queens,11427,Kings,11213,12.630000114440918
280,17484,S,E-Hail,Authorized,2022-04-01,06:30,06:30,STA,06:34,06:28,06:49,P,Bronx,10467,Bronx,10458,2.3499999046325684
282,23218,CX,E-Hail,Early Cancel,2022-04-01,09:00,09:00,,00:00,00:00,00:00,P,New York,10029,New York,10035,0.0
297,4290,CX,E-Hail,Early Cancel,2022-04-01,05:25,05:25,,00:00,00:00,00:00,P,Kings,11212,Queens,11418,0.0
299,4743,S,Broker,Authorized,2022-04-01,06:45,06:45,VBG,07:05,06:57,07:40,P,Queens,11106,Kings,11221,4.940000057220459
0,33563,S,E-Hail,Authorized,2022-04-01,08:10,07:14,ISA,07:04,07:03,07:22,A,Richmond County,10307,Richmond County,10308,7.630000114440918
19,37638,CX,E-Hail,Early Cancel,2022-04-01,08:30,08:30,,00:00,00:00,00:00,P,Richmond,10314,Kings,11209,0.0
26,29751,S,Broker,Authorized,2022-04-01,09:15,09:15,VBG,00:00,09:19,09:41,P,Kings,11207,Kings,11203,3.309999942779541
33,50724,S,Primary,Completed,2022-04-01,18:00,18:00,GVC,18:25,18:22,18:56,P,Bronx,10456,Bronx,10466,6.690000057220459
44,44645,CX,E-Hail,Early Cancel,2022-04-01,12:00,11:14,,00:00,00:00,00:00,A,Kings,11221,Kings,11207,0.0
51,50598,CX,E-Hail,Early Cancel,2022-04-01,27:15,27:15,,00:00,00:00,00:00,P,New York,10463,New York,10025,0.0
58,49586,S,Broker,Authorized,2022-04-01,13:30,13:30,VBG,13:20,13:08,13:41,P,Kings,11207,Kings,11236,2.609999895095825
69,51875,S,Primary,Completed,2022-04-01,04:30,04:30,MAG,04:25,04:25,04:59,P,New York,10031,Queens,11429,20.3700008392334
76,32874,CX_L,E-Hail,Late Cancel,2022-04-01,06:15,06:15,,00:00,00:00,00:00,P,Queens,11427,New York,10001,0.0
83,15495,S,Primary,Completed,2022-04-01,08:40,07:49,MAG,08:01,08:01,08:20,A,Richmond,10305,Kings,11209,2.819999933242798
94,2497,S,Primary,Completed,2022-04-01,08:00,08:00,MAG,08:39,08:38,09:04,P,Kings,11218,Kings,11217,2.8499999046325684
101,17861,CX_L,E-Hail,Late Cancel,2022-04-01,08:00,08:00,,00:00,00:00,00:00,P,Queens,11434,New York,10001,0.0
108,44049,CX,E-Hail,Early Cancel,2022-04-01,19:20,19:20,,00:00,00:00,00:00,P,New York County,10032,Richmond County,10304,0.0
119,48718,NSCNS,Broker,Customer no-show,2022-04-01,07:00,07:00,VBG,08:20,07:13,08:20,P,Kings,11234,Kings,11221,3.950000047683716
126,45731,CX,E-Hail,Early Cancel,2022-04-01,13:56,13:56,,00:00,00:00,00:00,P,New York County,10011,Kings County,11203,0.0
133,33426,S,Broker,Authorized,2022-04-01,07:05,07:05,VBH,07:12,07:07,07:17,P,Bronx,10458,Bronx,10458,0.36000001430511475
144,52620,CX,E-Hail,Early Cancel,2022-04-01,07:30,07:30,,00:00,00:00,00:00,P,Queens County,11358,Kings County,11211,0.0
151,51552,S,Primary,Completed,2022-04-01,08:30,08:30,PTC,08:27,08:27,09:01,P,Queens,11369,Queens,11106,3.75
158,28465,S,Primary,Completed,2022-04-01,23:20,22:33,MVT,22:33,22:16,22:55,A,Kings,11205,New York,10014,4.179999828338623
169,23442,S,Primary,Completed,2022-04-01,18:15,17:05,MVT,17:44,17:44,18:32,A,Kings County,11201,Kings County,11233,4.889999866485596
176,12461,S,Broker,Authorized,2022-04-01,06:30,06:30,VBG,06:58,06:55,07:31,P,Bronx,10459,Queens,11435,12.729999542236328
183,34212,S,Primary,Completed,2022-04-01,09:45,09:45,MVT,09:50,09:35,10:40,P,Richmond County,10302,New York County,10006,16.010000228881836
194,32218,CX,E-Hail,Early Cancel,2022-04-01,08:30,08:30,,00:00,00:00,00:00,P,Bronx,10459,Bronx,10451,0.0
201,28662,CX,E-Hail,Early Cancel,2022-04-01,17:00,17:00,,00:00,00:00,00:00,P,Queens County,11434,Queens County,11411,0.0
208,52451,S,Broker,Authorized,2022-04-01,13:00,13:00,VBH,00:00,12:50,13:16,P,Kings,11207,Kings,11216,2.2799999713897705
219,35483,CX,E-Hail,Early Cancel,2022-04-01,17:00,17:00,,00:00,00:00,00:00,P,New York,10036,Kings,11203,0.0
226,55385,S,Broker,Authorized,2022-04-01,15:00,15:00,VBG,00:00,16:06,00:00,P,Kings,11223,Kings,11213,6.179999828338623
233,42731,S,Broker,Authorized,2022-04-01,06:15,06:15,VBH,06:30,06:24,07:06,P,Bronx,10467,New York,10027,8.15999984741211
244,12358,CX_L,E-Hail,Late Cancel,2022-04-01,22:00,20:24,,00:00,00:00,00:00,A,New York,10029,Queens,11428,0.0
251,21783,CX,E-Hail,Early Cancel,2022-04-01,07:30,06:17,,00:00,00:00,00:00,A,Richmond,10314,Kings,11223,0.0
258,7829,S,Primary,Completed,2022-04-01,13:30,13:30,MAG,14:00,14:00,15:36,P,Kings,11230,Kings,11231,5.170000076293945
269,5579,S,Broker,Authorized,2022-04-01,23:00,23:00,VBG,00:00,00:00,00:00,P,New York,10001,Queens,11435,14.15999984741211
276,16779,S,Primary,Completed,2022-04-01,21:00,19:34,PTC,19:55,19:55,20:33,A,Queens,11435,New York,10281,10.600000381469727
283,5949,CX,E-Hail,Early Cancel,2022-04-01,10:00,10:00,,00:00,00:00,00:00,P,Kings,11206,Kings,11206,0.0
294,16622,S,Primary,Completed,2022-04-01,07:15,05:45,MVT,05:51,05:34,06:42,A,Queens,11694,New York,10038,18.1299991607666
301,13836,CX,E-Hail,Early Cancel,2022-04-01,06:30,06:30,,00:00,00:00,00:00,P,Kings,11226,New York,10013,0.0
308,374,S,Primary,Completed,2022-04-01,15:45,14:18,MVT,14:27,14:21,15:45,A,Kings,11211,Kings,11207,7.130000114440918
32,47533,S,E-Hail,Authorized,2022-04-01,15:45,15:45,STA,16:30,16:19,16:54,P,Bronx,10461,Bronx,10473,3.4600000381469727
34,50724,S,Primary,Completed,2022-04-01,12:00,12:00,GVC,12:00,11:59,12:46,P,Bronx,10466,Bronx,10456,6.690000057220459
36,51532,S,E-Hail,Authorized,2022-04-01,05:00,05:00,STA,05:08,05:04,05:12,P,Bronx,10459,Bronx,10459,0.36000001430511475
41,50659,CX,E-Hail,Early Cancel,2022-04-01,17:00,17:00,,00:00,00:00,00:00,P,New York,10004,New York,10024,0.0
43,51289,S,E-Hail,Authorized,2022-04-01,22:00,22:00,STA,00:00,00:00,00:00,P,Bronx,10468,Bronx,10475,3.3499999046325684
66,21804,S,Broker,Authorized,2022-04-01,04:25,04:25,VBG,04:59,04:54,05:46,P,Kings,11203,New York,10019,11.619999885559082
68,6718,CX,E-Hail,Early Cancel,2022-04-01,17:00,17:00,,00:00,00:00,00:00,P,Kings,11201,Kings,11234,0.0
75,51439,S,E-Hail,Authorized,2022-04-01,20:45,19:55,STA,19:54,19:40,20:10,A,Bronx,10473,Bronx,10467,5.599999904632568
77,32874,CX,E-Hail,Early Cancel,2022-04-01,16:40,16:40,,00:00,00:00,00:00,P,New York,10001,Queens,11427,0.0
100,19197,NSNNS,Primary,No-fault no-show,2022-04-01,14:10,14:10,GVC,15:03,14:52,15:03,P,Richmond County,10314,Richmond County,10303,4.480000019073486
102,17861,CX,E-Hail,Early Cancel,2022-04-01,14:45,14:45,,00:00,00:00,00:00,P,New York,10001,Queens,11434,0.0
109,7216,S,Primary,Completed,2022-04-01,13:30,13:30,ITA,13:27,13:23,13:47,P,Queens,11432,Queens,11367,2.5399999618530273
111,20789,NSCNS,Broker,Customer no-show,2022-04-01,08:30,08:30,VBH,09:40,08:32,09:40,P,Kings,11226,Kings,11219,2.2799999713897705
134,6868,S,Primary,Completed,2022-04-01,08:00,08:00,MVT,07:48,07:48,08:45,P,Queens,11370,Kings,11222,6.130000114440918
136,37338,CX,E-Hail,Early Cancel,2022-04-01,19:00,19:00,,00:00,00:00,00:00,P,Queens,11412,Kings,11207,0.0
141,1548,S,Primary,Completed,2022-04-01,16:30,16:30,PTC,17:15,17:15,19:30,P,New York,10006,Queens,11416,11.069999694824219
143,39809,S,E-Hail,Authorized,2022-04-01,13:00,13:00,STA,12:57,12:51,13:07,P,Bronx,10452,Bronx,10452,0.49000000953674316
166,25085,S,Broker,Authorized,2022-04-01,08:30,08:30,VBG,08:49,08:42,09:34,P,Bronx,10452,Kings,11232,17.229999542236328
168,23442,S,Primary,Completed,2022-04-01,08:45,07:36,MVT,08:02,07:56,09:00,A,Kings County,11233,Kings County,11201,4.889999866485596
175,4894,CX_L,E-Hail,Late Cancel,2022-04-01,19:55,19:55,,00:00,00:00,00:00,P,Kings,11235,New York,10025,0.0
177,12461,S,Broker,Authorized,2022-04-01,16:30,16:30,VBG,16:43,16:43,18:00,P,Queens,11435,Bronx,10459,12.729999542236328
200,28662,CX,E-Hail,Early Cancel,2022-04-01,08:20,08:20,,00:00,00:00,00:00,P,Queens County,11411,Queens County,11434,0.0
202,21156,CX,E-Hail,Early Cancel,2022-04-01,07:00,07:00,,00:00,00:00,00:00,P,Kings,11214,Kings,11230,0.0
209,36868,S,Primary,Completed,2022-04-01,04:15,04:15,MAG,04:22,04:09,04:55,P,Kings,11206,New York,10016,5.28000020980835
211,34238,CX,E-Hail,Early Cancel,2022-04-01,09:00,09:00,,00:00,00:00,00:00,P,Queens,11428,Queens,11434,0.0
234,42731,S,Broker,Authorized,2022-04-01,15:00,15:00,VBH,15:18,15:16,16:31,P,New York,10027,Bronx,10467,8.15999984741211
236,9595,CX,E-Hail,Early Cancel,2022-04-01,17:30,17:30,,00:00,00:00,00:00,P,Kings,11201,Kings,11207,0.0
241,22061,CX,E-Hail,Early Cancel,2022-04-01,09:00,08:09,,00:00,00:00,00:00,A,Richmond,10303,Richmond County,10301,0.0
243,12358,CX,E-Hail,Early Cancel,2022-04-01,10:30,08:52,,00:00,00:00,00:00,A,Queens,11428,New York,10029,0.0
266,23505,S,E-Hail,Authorized,2022-04-01,09:10,09:10,ISA,09:09,09:07,09:19,P,Richmond,10303,Richmond,10314,1.9700000286102295
268,22478,CX,E-Hail,Early Cancel,2022-04-01,14:00,14:00,,00:00,00:00,00:00,P,Queens,11415,Queens,11357,0.0
275,23355,S,Primary,Completed,2022-04-01,12:00,12:00,ITA,12:09,11:55,12:27,P,Queens,11415,Queens,11365,4.050000190734863
277,23695,S,Broker,Authorized,2022-04-01,12:45,12:45,VBI,12:23,12:14,12:45,P,New York,10037,New York,10028,3.5799999237060547
300,4743,S,Broker,Authorized,2022-04-01,14:50,14:50,VBG,00:00,00:00,00:00,P,Kings,11221,Queens,11106,4.940000057220459
302,13836,S,Broker,Authorized,2022-04-01,15:00,15:00,VBG,00:00,15:42,16:35,P,New York,10013,Kings,11226,7.170000076293945
309,18210,S,Primary,Completed,2022-04-01,06:45,05:55,MVT,05:56,05:51,06:19,A,Kings,11207,Kings,11212,2.490000009536743
311,22258,S,Primary,Completed,2022-04-01,12:00,12:00,PTC,12:10,12:05,12:26,P,Queens,11415,Queens,11435,0.7799999713897705
312,15151,S,Primary,Completed,2022-04-01,08:30,06:55,MAG,06:58,06:50,08:06,A,Richmond,10314,New York,10016,20.719999313354492
314,23581,CX,E-Hail,Early Cancel,2022-04-01,07:00,05:31,,00:00,00:00,00:00,A,Kings,11223,New York,10038,0.0
329,2534,CX,E-Hail,Early Cancel,2022-04-01,09:00,07:31,,00:00,00:00,00:00,A,New York,10023,Kings,11230,0.0
331,25209,CX_L,E-Hail,Late Cancel,2022-04-01,14:00,14:00,,00:00,00:00,00:00,P,Queens,11432,Queens,11697,0.0
346,8767,S,Primary,Completed,2022-04-01,09:30,08:17,PTC,08:05,08:05,09:01,A,Queens,11358,Queens,11106,6.820000171661377
348,1983,S,Primary,Completed,2022-04-01,08:45,07:27,ITA,07:27,07:20,07:59,A,Queens,11374,Nassau,11021,9.3100004196167
363,20228,S,Broker,Authorized,2022-04-01,06:00,06:00,VBG,06:08,06:02,06:27,P,Bronx,10467,Bronx,10468,2.0799999237060547
365,3022,S,Primary,Completed,2022-04-01,09:15,09:15,PTC,09:15,09:15,10:07,P,Queens,11355,Kings,11211,9.050000190734863
380,21490,S,Broker,Authorized,2022-04-01,10:45,10:45,VBG,10:57,10:55,11:17,P,Bronx,10461,Bronx,10459,4.349999904632568
